numeric,japanese,english_translated_by_google_translate
2,お菓子,Sweets
33,肉,Meat
37,野菜,Vegetables
41,魚,Fish
38,鍋料理,Casserole
1,お弁当,Bento
20,卵料理,Egg_dish
11,ソース・調味料・ドレッシング,Source_·_Seasoning_·_Dressing
40,飲みもの,A_drink
16,人気メニュー,Popular_menu
42,麺・粉物料理,Noodle_/_powder_dishes
28,汁物・スープ,Soup_and_soup
3,ご飯もの,Rice_stuff
5,その他の食材,Other_ingredients
22,大豆・豆腐,Soybean_/_tofu
12,パスタ,Pasta
23,定番の肉料理,Classic_meat_dish
10,サラダ,Salad
15,中華料理,Chinese_cuisine
13,パン,Bread
0,おせち料理,New_Year_dishes
9,クリスマス,Christmas
24,定番の魚料理,Classic_fish_dishes
19,冬（12月〜2月）,Winter_December_February
27,果物,Fruit
36,調理器具,Kitchenware
7,イタリア料理,Italian_food
4,その他の目的・シーン,Other_purpose_·_scene
25,日本各地の郷土料理,Local_cuisine_throughout_Japan
29,沖縄料理,Okinawa_cuisine
6,ひな祭り,Hina_Matsuri
18,健康料理,Health_food
39,韓国料理,Korean_cuisine
34,行事・イベント,Event_/_Event
26,春（3月〜5月）,Spring_March_to_May
14,フランス料理,French_cuisine
32,簡単料理,Easy_cooking
30,秋（9月〜11月）,Fall_September_November
17,今日の献立,Today's_menu
21,夏（6月〜8月）,Summer_June_August
35,西洋料理,Western_cuisine
8,エスニック料理・中南米,Ethnic_dishes_·_Latin_America
31,節約料理,Saving_food
